月数,人口,单岗研究,总研究,单岗超然逻辑,总超然逻辑,单岗能量币维护,总岗能量币维护,人口净化进度,产生人口净化进度,人口增长进度,产生人口增长进度,帝国人口
199,363,300.35053124999996,109027.24284374999,7.524309375,2731.324303125,49.23187500000001,17871.170625000002,5.050000000022919,597.5500000000001,65.79999999998813,1465,2563
200,361,297.66384374999996,107456.64759374998,7.446753124999999,2688.2778781249995,48.96062500000001,17674.785625000004,2.6000000000229875,593.85,105.59999999998809,1465,2561
201,360,296.325,106677.0,7.408124999999999,2666.9249999999997,48.825,17577.0,96.45000000002301,592.0,146.199999999988,1465,2560
202,358,293.65631249999996,105128.95987499999,7.331168750000001,2624.5584125,48.553750000000015,17382.242500000004,88.45000000002301,588.3000000000001,187.199999999988,1465,2558
203,356,290.99962500000004,103595.86650000002,7.254612500000001,2582.6420500000004,48.282500000000006,17188.570000000003,76.75000000002308,584.6,228.99999999998795,1465,2556
204,354,288.3549375,102077.647875,7.17845625,2541.1735125,48.011250000000004,16995.982500000002,61.3500000000231,580.9,271.59999999998786,1465,2554
205,352,285.72225,100574.23199999999,7.1027,2500.1504,47.74000000000001,16804.480000000003,42.25000000002308,577.2,314.99999999998795,1465,2552
206,351,284.41040625,99828.05259374999,7.064971875,2479.805128125,47.60437500000001,16709.135625000003,19.450000000023124,575.35,3.999999999987722,1465,2551
207,350,283.1015625,99085.546875,7.02734375,2459.5703125,47.46875000000001,16614.062500000004,94.80000000002315,573.5,48.59999999998763,1465,2550
208,348,280.49287499999997,97611.52049999998,6.9523874999999995,2419.4308499999997,47.19750000000001,16424.730000000003,68.30000000002315,569.8000000000001,93.59999999998763,1465,2548
209,346,277.8961875,96152.080875,6.87783125,2379.7296125,46.92625000000001,16236.482500000004,38.100000000023215,566.1,139.39999999998759,1465,2546
210,344,275.31149999999997,94707.15599999999,6.803675,2340.4642,46.655,16049.32,4.200000000023238,562.4,185.9999999999875,1465,2544
211,343,274.02365625,93990.11409375,6.766746875000001,2320.9941781250004,46.51937500000001,15956.145625000003,66.60000000002321,560.5500000000001,233.39999999998759,1465,2543
212,341,271.45696875000004,92566.82634375001,6.693190625000001,2282.3780031250003,46.24812500000001,15770.610625000003,27.150000000023283,556.85,281.19999999998754,1465,2541
213,340,270.17812499999997,91860.56249999999,6.6565625,2263.23125,46.112500000000004,15678.250000000002,84.0000000000233,555.0,329.79999999998745,1465,2540
214,339,268.90228125,91157.87334374999,6.620034375,2244.191653125,45.97687500000001,15586.160625000002,39.000000000023306,553.15,24.79999999998745,1465,2539
215,338,267.62943749999994,90458.74987499998,6.58360625,2225.2589125,45.84125000000001,15494.342500000002,92.15000000002328,551.3000000000001,74.19999999998754,1465,2538
216,336,265.09275,89071.164,6.511049999999999,2187.7128,45.57000000000001,15311.520000000002,43.45000000002335,547.6,123.9999999999875,1465,2536
217,335,263.82890625,88382.68359375,6.474921875000001,2169.098828125,45.434375,15220.515625000002,91.05000000002337,545.75,174.5999999999874,1465,2535
218,333,261.31021874999993,87016.30284374997,6.402965625,2132.1875531250002,45.163125000000015,15039.320625000006,36.800000000023374,542.0500000000001,225.5999999999874,1465,2533
219,332,260.055375,86338.38450000001,6.367137500000001,2113.8896500000005,45.02750000000001,14949.130000000003,78.85000000002344,540.2,277.39999999998736,1465,2532
220,330,257.5546875,84993.046875,6.295781250000001,2077.6078125000004,44.75625000000001,14769.562500000004,19.050000000023488,536.5,329.5999999999872,1465,2530
221,330,257.5546875,84993.046875,6.295781250000001,2077.6078125000004,44.75625000000001,14769.562500000004,55.55000000002349,536.5,29.599999999987176,1465,2530
222,329,256.30884375,84325.60959374999,6.260253125,2059.623278125,44.620625000000004,14680.185625000002,92.05000000002349,534.65,82.59999999998718,1465,2529
223,327,253.82615625,83001.15309374999,6.189496875,2023.965478125,44.34937500000001,14502.245625000003,26.700000000023465,530.95,135.99999999998727,1465,2527
224,326,252.58931250000003,82344.11587500002,6.154268750000001,2006.2916125000004,44.213750000000005,14413.6825,57.65000000002351,529.1,190.19999999998709,1465,2526
225,325,251.35546875,81690.52734375,6.119140625,1988.720703125,44.07812500000001,14325.390625000002,86.75000000002353,527.25,244.799999999987,1465,2525
226,323,248.89678124999995,80393.66034374999,6.049184375,1953.886553125,43.80687500000001,14149.620625000003,14.000000000023533,523.5500000000001,299.799999999987,1465,2523
227,323,248.89678124999995,80393.66034374999,6.049184375,1953.886553125,43.80687500000001,14149.620625000003,37.5500000000236,523.5500000000001,3.2999999999869374,1465,2523
228,322,247.6719375,79750.36387500001,6.0143562500000005,1936.6227125000003,43.67125000000001,14062.142500000002,61.10000000002367,521.7,59.09999999998695,1465,2522
229,321,246.45009375,79110.48009375,5.979628125,1919.4606281249999,43.53562500000001,13974.935625000004,82.80000000002372,519.85,115.29999999998677,1465,2521
230,319,244.01540624999998,77840.91459375,5.910471875,1885.440528125,43.26437500000001,13801.335625000003,2.650000000023738,516.15,171.89999999998668,1465,2519
231,318,242.80256249999996,77211.21487499999,5.876043750000001,1868.5819125000003,43.128750000000004,13714.942500000001,18.800000000023715,514.3000000000001,229.29999999998677,1465,2518
232,317,241.59271875,76584.89184375,5.841715625,1851.823853125,42.993125000000006,13628.820625000002,33.10000000002378,512.45,287.0999999999867,1465,2517
